Review	Liked
Colleagues: Please find below the telephone numbers for the conference call on Thursday  April 19 at 3:00 pm, Eastern Time. 1-800-998-2462 passcode 5166879 Please let me know if you have any question.	0
The story line is totally predictable.	2
the cheapest oooorgasmic experience in los angeles diddy riese contributed to my freshman 15 but every single time i ran i lived in westwood to diddy i left with a smile my favorite diddy is vanilla ice cream between a peanut butter and sugar cookie it has never disappointed me theres always lines outside but be patient and you will get your diddygasm its the cheapest dessert in westwood only 150	1
I thought it was bad.	2
Hayao Miyazaki's latest and eighth film for Studio Ghibili, Gake No Ue No Ponyo (Ponyo on the Cliff by the Sea) is a wonderfully fun and imaginative look at childhood.	1
i forgot to call them yesterday.  i will try tonight.  i leave sat for n.o.  for the cruise.  i will be back the following sunday.	0
Best thing since sliced bread.	1
The acting is like watching wooden puppets moving around and reading from a book, that's how bad it is.	2
Still it's quite interesting and entertaining to follow.	1
While my kids watch Dora, I am indulging my Kindle fetish. I just LOVE my Kindle. My little girls love to help me, turn the page, while reading. Cant wait to try out some kids books, too.	1
Thursday, Apr. 5 at 10 a.m. Houston time, join George Wasaff, managing  director of Global Strategic Sourcing (GSS) on eSpeak. George will answer  questions about GSS' plans for fiscal 2001 and major sourcing initiatives,  including the roll-out of iBuyit. Now, for the part about pre-submitting questions: If you can't make the live  event, be sure to post your question on eSpeak right now! George will answer  your questions during his event, and you can read them in the transcript  later.	0
i am surprised at the ratings of this place although ive been only once and did not care much for the service its somewhat difficult to order in spanish since i am asian but for the californian who misses innout this place is for you stick with a cheeseburger and fries but the fish sandwich looks moderately awesome as well but yeah this burger is as close as ive gotten to innout and ive been looking ketchup is the devils condiment thats why its red dont kill your burger with it	1
Send finals to me one more time for review, then we should be ready to go.	0
Nine out of ten for a truly lovely film.	1
I highly recommend these and encourage people to give them a try.	1
This place deserves one star and 90% has to do with the food.	2
i cant stop daydreaming about gather	1
This mostly routine fact-based TV drama gets a boost from the fine performance by Cole.	1
you are right.  you are one of a kind.  i am lucky to have you.  you are  buying some time past 50.  you just added another year or two (depends if i  have all my hair or not).	0
Please find below the first glimpse of the plan to update, and review, the  largest 50 curves; they represent 75% of URM exposure. I am confident of  your cooperation and support; both are absolutely essential to complete this  ambitious schedule on time (the process will start on April 23rd and  conclude by May 25th, 2001).  Stella, Pat and I are currently working on streamlining the regulatory inputs  required from you in a faster, and more cost-effective manner. We are also  working on ensuring that documentation will be compiled in a very user  friendly database (with the help/support of Elizabeth it shall be on the  intranet) that will make the process next time a cinch, and provide the  required inputs for your suggested strategy for the curve/utility when the  time comes (it is the second stage of the process).   Stella, Pat and I shall seek your permission for an appropriate time this  coming week to discuss the details of the plan and take stock of your  comments and suggestions.	0
No, I'm going to eat the potato that I found some strangers hair in it.	2
I have to say that this film was excellently produced and tops the ratings as a typical sci fi film!	1
You'll love it!   1 This movie is BAD.   0 So bad.   0 The film is way too long.   0 This is definitely one of the bad ones.   0 The movie I received was a great quality film for it's age.   1 John Wayne did an incredible job for being so young in the movie industry.   1 His on screen presence shined thought even though there were other senior actors on the screen with him.   1 I think that it is a must see older John Wayne film.   1 I really don't see how anyone could enjoy this movie.   0 I don't think I've ever seen a movie half as boring as this self-indulgent piece of junk.   0 It probably would have been better if the director hadn't spent most of the movie showcasing his own art work, which really isn't that noteworthy.   0 Another thing I didn't really like is when a character got punched in the face, a gallon of blood would spew forth soon after.   0 Jamie Foxx absolutely IS Ray Charles.   1 His performance is simply genius.   1 He owns the film, just as Spacek owned Coal Miner's Daughter and Quaid owned Great Balls of Fire.	1
The servers went back and forth several times, not even so much as an Are you being helped?	2
No additional ear gels provided, and no instructions whatsoever.	2
I believe the screenwriter did a good job of tying up the loose ends.	1
are we hitting sierra tomorrow?	0
He was terrible!	2
The individual RTOs have the upper hand as far as dictating what the  scheduling practices will be. This is driven by the fact that the RTO  efforts have focused on the scheduling needs internal to their borders. The  problem the Electronic Scheduling Collaborative (ESC) faces is trying to  define standard business practices for OASIS II now - after most RTOs have  taken great steps to defining their own internal scheduling practices. In  the West, there is a coordination effort to address the seams between the 3  RTOs (there are some in theEast as well).	0
what about football	0
This is a great product..... sure beats using your fingers!.	1
The jerky camera movements were also annoying.	2
I agree with Dan. Have we sold above the cap? If so, report. If not, tell them we will let them know when we do.	0
There was NOTHING believable about it at all.	2
This scene is very strong and unpleasant.	2
Rose, I downloaded Every Word onto my Kindle. It was free then, about 6 months ago. It is a fun wordgame, if you like word games. It gives you 6-7 letters per level and you try to make as many words as you can. They place the words that you have come up with in alphabetical order so you can see what you might be missing.  I like it.	1
The croutons also taste homemade which is an extra plus.	1
great...no problems at all!.	1
This is by far the worst purchase I've made on Amazon.	2
The plot is nonsense that doesn't interest in the slightest way or have any uniqueness to it.	2
is your sister-in-law melissa richardson?	0
Emily Watson's character is very strong, and she has only to give a quick glance and you understand everything.	1
The sets (especially designed to work with the camera) are amazing....stylized, beautiful and effective.	1
10 out of 10 stars.	1
It was delicious!!!	1
I was deeply impressed with the character he played.	1
There still are good actors around!	1
between 8 & 9.  who all is even going on this thing now?	0
he's got room.  i will give you a call before i leave.	0
Worked very well paired with a Treo 700w and as a Skype headset on my PC (using a USB Bluetooth transceiver).	1
Thanks for your good comments on the draft interconnection procedures. Attached is a memo addressing your comments. Michele Farrell will have the pen to make the changes and to supervise the  filing while I'm out this week.	0
You wont regret it!	1
A good time!	1
tell him to keep checking his mail and it might be there in a couple of  weeks.	0
i will be watching.  have fun	0
do a mud pie thing	0
I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.	1
Do you think that it makes sense for the four of us to sit down with this  report the day after it comes out and discuss (1) Enron's perspective, (2)  should/are we participating, and (3) key commercial / regulatory that need  the information?  I am trying to make sure that everything is covered appropriately and maybe  this is the right format - unless you guys can think of something else?	0
no plans for tues.  give me a call if you want to do something tues.  have  fun in b.r.	0
br so the conclusion is i cant see any better value then nikon d50 nikon 18200 lense	1
good protection and does not make phone too bulky.	1
As we previously reported, on March 14, 2001, FERC announced certain actions  to address the energy problems in California and other areas of the West in  an Order Removing Obstacles to Increased Electric Generation and Natural Gas  Supply in the Western United States and Requesting Comments on Further  Actions to Increase Energy Supply and Decrease Energy Consumption. The  following is an overview of the steps the Commission proposes to immediately  help increase supply from existing power sources and to provide regulatory  incentives to build new electric and natural gas infrastructure. The  Commission also invited comments on certain proposals. This memo includes a  list of key points we intend to make in comments that are due by March 30th.	0
i just want to give a nod to the people who work here they can make burritos and run a cash register faster than i thought was humanly possible ive been here a few times and its always busy so it is good they are fast wow and its chipotle so of course its delicious	1
After two I felt disgusting.	2
Kindle 3 is such a great product. I could not be happier with mine! :-)	1
Here is my draft in draft form. I have not put in a suggested number for the initial cash deposit (see Whereas clauses). I presume this is to be submitted to NPC for approval before going out in final form.	0
Please find attached the Word versions of the above referenced documents.  Please let us know if you have any questions.	0
I'd like to return it.	2
i wish the shortcut buttons just toggle through the settings and that i could see the resulting changes on the monochrome lcd	2
a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.	2
the best moment of your life	0
Last Friday, January 26th, the Special and Correcting Invoices for the Southern California Edison (SCE) default were due and there were some Participants who failed to comply with Schedule 2. Section 4.3.2. of the PX Tariff which states, All payments by the PX Participants shall be made to the PX Clearing Account via the Fedwire System for funds to be received at the PX Clearing Account no later than noon PPT on the Payment Due Date.  Additionally, Schedule 2, Section 5.5 of the PX Tariff requires the PX to identify such Participants to all other affected PX Participants by the most expeditious means available. In accordance with Section 5.5, here is a list of PX Participants not in compliance with Section 4.3.2. for the SCE default:  American Electric Power Service Corporation Arizona Public Service Los Angeles Department of Water and Power Pacific Gas & Electric Sacramento Municipal Utility District Salt River Project  Each PX Participant's pro-rata portion of the shortfall from the Participants mentioned above will be communicated to them individually in the next couple of days. If you should have questions, please call Clark Cheng at 626-537-3243 or Chris Anderson at 626-537-3377.           Richard C. Josephson Stoel Rives LLP 900 SW Fifth Avenue, Suite 2600 Portland, OR 972042268 DD: 503-294-9537 Fax: 503-220-2480 email: rcjosephson@stoel.com  - complaint.doc	0
you have to give me a second to reply.  so you are going to meet me there?  i  can leave you tickets for the booth at my place or you can call me on my cell  when you get there.    i will put your name on the list at the enron booth.   my cell phone is 71	0
The food was barely lukewarm, so it must have been sitting waiting for the server to bring it out to us.	2
Hayao Miyazaki's latest and eighth film for Studio Ghibili, Gake No Ue No Ponyo (Ponyo on the Cliff by the Sea) is a wonderfully fun and imaginative look at childhood.	1
my family loves nikon and during my search for a digital camera it was difficult passing over the nikon d70 but only initially	2
My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!	2
Anyway, I do not think i will go back there.	2
Not enough volume.	2
i don';t know where to go tubing.  we will figure something else out.  maybe  you should just throw a pool party.	0
Please note per Alan's request that a conference call has been *tentatively*  scheduled for today, on the topic as noted on the subject line above, for  1:00 PM PST/3:00 PM CST/4:00 PM EST. Please advise me soonest of your availability in order to facilitate  confirming this call can occur as scheduled. Thanks in advance for your assistance.	0
we might need 3 or 4.  i will get bass to get them	0
I couldn't take them seriously.	2
Have you found the title policy?	0
Do you do expense reports and have not taken the training? Expense Management System (XMS) - Cost: $135 June 4th 8:30am21:30am EB564  June 19th 1:00pm-4:00pm EB564 The Expense Management System (XMS) is a tool used to electronically submit  your expense report for approval and payment through the Enron Intranet. It  is user friendly, accurate and less labor intensive for you and the  accounting staff. This system will help you report your travel and  entertainment expenses.	0
This is not movie-making.	2
nice stride by	0
I may be behind in the e-mail discussions - I have not downloaded remote in the last 2 days so this issue may be resolved by now. Also I may not fully understand the concern as e-mails are imperfect. However, I'm not sure the customer wait for FERC order option helps with an orderly process for interconnections. Suppose the non-signing customer is first in the queue. Suppose the second in queue customer is happy with the FIOA, signs and wants construction to start. If the second customer facilities depends on building facilities for the first customer we have an impasse, a mess. We need to find a way for the first customer to resolve legitimate problems with a FIOA and not hold up other interconnection customers. How can we do this?	0
$50.  not much for a shooter like me.  i will probably win it tonight at  liars poker.	0
An instant classic, with a great soundtrack and a catchy song during the ending credits.	1
The death row scenes were entirely unmoving.	2
otras baterias tambien son otra buena opcion para comprar puesto que si usan mucho el screen para revisar las fotografias se consumen bastante rapido	2
The story unfolds in 18th century Jutland and the use of period music played on period instruments is just one more fine touch.	1
if you are going to the one in the village i think you should try another  place.  there is this place called chipotle on kirby two blocks down from  bissonet.  it is the best.  they are out of denver.  it is much better than  texadelphia.	0
Interesting decor.	1
Highly unprofessional and rude to a loyal patron!	2
The football scenes at the end were perplexing.	2
I was soooo sitting in Starbucks this morning with a nursing/sleeping baby girl in my lap while reading my new novel on my Kindle. Love it!	1
set up a trip in oct.  maybe we can get a long weekend.  maybe lsu plays one  day and we could check that out.  i will take a look.	0
i am here dog	0
this is the best chinese food in ann arbor my favorite thing there is the chicken in pineapple nest fantastic the service is also topnotch friendly and fast prices are reasonable and the atmosphere is really nice too i highly recommend it	1
no.  he is divorced though.  the other guy going is the one from a&m i told  you about.  the old guy is hilarious.  he is the funniest person i know.	0
i went.  it was incredible.  one of the best games i have seen there.  rohan  is the man.  we would be 42 if he could have played last week.  big game  sat.  we need to do something for the game.	0
i doubt cros will end up going.  sat night is val's engagement party.  i just  want to stay there for maybe an hour.  where are you watching the game  tonight?	0
The success of the film depends on the casting of Sydney Greenstreet as the Alexander Yardley character.	1
Just had lunch here and had a great experience.	1
I Love my kindle!!  My favorite x-mas gift ever!	1
It is an hour and half waste of time, following a bunch of very pretty high schoolers whine and cry about life.	2
Attached is EPMI's 3rd quarter WSPP report for your review and comments, Wright & Talisman request that we submit our filing electronically by Friday, October 27.	0
The revised response is attached. I talked with Joe Eisenberg and told him we'd like the Amend. 22 proceeding  included. He said this primary objective is to have everything proceed in  one forum. However, he is concerned about giving people an opening to tack  on additional matters. I said that at a minimum we wanted clarity whether  anything other than the 3 Charge-Back matters were covered by the motion. He  said there was no problem clarifying if his client wouldn't agree to include  the Amend. 22 matter. As many of you know the PX sued the ISO regarding funds paid by PG&E to the  ISO that should have gone to the PX. I asked Joe why the creditors weren't  generally informed this was in the works, and why they filed in district  court if he's trying to channel all proceedings. He said he wasn't really  aware the action was filed (it was filed by another firm). He had sought  retention of that firm but he thought it was going to be handled throught the  administrative process. It seems like there needs to be more focus at the  PX, especially since they're spending the participants money.	0
W810i is just SUPERB.	1
Despite how hard I rate businesses, its actually rare for me to give a 1 star.	2
The price is reasonable and the service is great.	1
Boy was that sucker dry!!.	2
The battery works great!	1
Awful service.	2
!I definitly recommend!!	1
request_text: Please disclose and/or produce any and all communications from  October 16, 2001 to the present, between any of the party representatives  listed below and any representative of BPA concerning rates to be in effect  for BPA's Fiscal Years 2002-2006, the interactions of such rates and customer  contracts, or procedural aspects of rate these proceedings.	0
Love the tips!! More!!	1
It has a very good plot, it holds your complete attention, the acting is superb, Tom Wilkinson was fantastic and Emily Watson was also very good.	1
did you get martha and billie's car?  did you give them something extra for  hooking you up?  go to the web site www.adcritic.com and look at the fox  sport commercials for the basketball promo.  there is one for the jazz,  spurs, lakers and knicks.  they	0
This early film from future goremeister Lucio Fulci is a very good addition to the giallo sub-genre.	1
In our continuous commitment to enhance the services we offer you, Factiva is proud to announce the expanded availability of the Financial Times (FT).  Commencing June 16, the full text from all editions of the FT, including FT.com, will be accessible to all Publications Library and CustomClips customers. The FT will continue to be unavailable in Business Newsstand. The rollout of the full text of the FT complements Factiva's compelling content set of top must-read global business sources including The Wall Street Journal and Dow Jones, Reuters and AP Newswires. In addition, this unique source combination will be offered at launch in Factiva.com, our new flagship product.  The full text will replace the FT Abstracts. In order to provide you with uninterrupted coverage, the full text of all articles from June 1 on will be made available. The FT abstract archive to date will continue to be accessible to you as well.  This change will require no action on your part. The full text of the FT will have the same source codes that were previously applied to the FT Abstracts. This means your CustomClips folders and saved searches will automatically get this expanded content - and it will be available on day of publication to provide you with the most up-to-date global business information.  If you have any questions, please contact your account executive.	0
you hate gollata huh?  fights are a waste of money b/c they are never good.   i made my mullet wig.  it is a work of art.  i look like such a tool with it  on, but my legs are still great.  i like my ankles too.  so you are just  going to hit that party s	0
I'm assuming that any deal we sign with DWR that falls below the $150/MWH  soft cap is free and clear of the order FERC issued on Friday as well as any  other refund risk associated with FERC's December order. Is that correct?  Thanks.	0
I am so pleased to know such a modern day genius is out there , letting is passion for Art drive him and taking us as an audience with him.	1
These are certainly very comfortable and functionality is decent.	1
is that how one of your dirty stories started in that porn mag you have?	0
you have got to get a computer that is out of the 80's to see the cool stuff  i see	0
Everything is appalling.	2
thanh vi has the nicest people running it that you could ever hope to meet their banh mi is excellent as are their salad rolls im so into the banh mi i find it hard to go without it even for a single visit but they have many other dishes	1
A great way to finish a great.	1
Do first thing.	0
i already made a rap cd at val's.  it has some great rap songs.  country  grammar is the first song.  i will blare it with my new state of the art  sound system.  i will pick it up today or tomorrow.	0
Hopefully, the director James Cox can turn the short into a feature length film with the same cast, or win us over with a whole new film.	1
im surprised this is a good quality car charger and there's not much reviews about it.	1
The basic premise is wasted since it is sidelined by the inexplicable focus on the documentary crew.	2
I think it was Robert Ryans best film, because he portrayed someone like my father, and he was a schizophrenic in real life,(my father) although he never murdered anyone but was affected more so during the second world war which made him worse.	1
But it does get better reception and clarity than any phone I've had before.	1
My 8/10 score is mostly for the plot.	1
Don't be afraid of subtitles........ its worth a little aversion therapy 10/10	1
I love free books!	1
Horrible phone.	2
Just reading on the specs alone makes you say WOW.	1
And if that isn't enough of a mess of a movie for you - the picture is also marred with a constant use of studio sets and indoor exteriors.	2
The only thing that disappoint me is the infra red port (irda).	2
anyone know how to legthen the time before the kindle go into screen saver mood????????	1
i have your juvenille cd & i might not give it back.  you in town this  weekend.	0
Hello, Everyone - This Notice confirms our meeting for this coming Friday, March 23, 2001, from 8:30 a.m. to 11:00 a.m. at the Sheraton Portland Airport Hotel. Because there are fewer items on the agenda, this RRG meeting should be shorter than usual, and we hope to wrap up by 11:00 a.m. The purpose of the meeting is primarily to discuss with the RRG a phased approach to implementing congestion management. The filing utilities are very aware of the concerns many parties have expressed about process overload, and the burden this imposes on you. Consequently, the filing utilities are considering a more focused process that will call for prioritizing the work streams over the next few weeks. Part of this more focused process is a proposal for a potential phasing of congestion management implementation.	0
The ISO advises market participants to follow normal payment procedures as specified in the ISO Tariff with respect to invoices due February 22,	0
I bought the latest Tom Clancy in hardback form because Ive always collected his books. Havent finished it yet cause it is too heavy to hold. Im truly spoiled by my Kindle. Probably need to offer the hardback for sale & re-buy for Kindle.	1
Please ensure that the program will run on a standalone, non-Bonneville  computer-that is, a computer that does not require access to files available  only on a BPA computer.	0
It was very popular when I was in the cinema, a good house and very good reactions and plenty of laughs.	1
bring the money by whenever you want.  i should be at my desk all day.	0
Please see the attached document requesting nominations to fill a vacant  position on the Reliability Compliance Committee. Please return nominations  by July 20, 2001.	0
I have submitted and exp for Mary Hain via the XMS system. I am forwarding  her receipt(s) over $75 today. I will check the XMS system for approval.	0
It was horrible!.	2
how was new years?  i stayed in town and went to prague.	0
The California ISO has received the attached request for data from the Federal Energy Regulatory Commission (FERC) in the context of FERC's Bulk Power Investigation (the nationwide fact-finding probe of electric markets and recent price spikes). To the extent the request includes a request for information that is listed in ISO tariff section 20.3.2., the ISO will seek confidential treatment for such information pursuant to 18 C.F.R. 388.112.	0
There is nothing privileged about working/eating there.	2
I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!	1
i find that i use manual mode and auto equally in order to make sure i have the picture	2
is the one with the curly hair the one that supposedly dates britney?  there  is no way she would go out with a geek like that.  you can come over  whenever.   you wont ruin my workout routine.	0
Thank you so much for the very helpful instructions you post. I am learning more about my Kindle every time I read a post.	1
number is 504-5982737.  he is in.  call if you want to go out b/c there will  be 4 girls who want to party.	0
The ambiance isn't much better.	2
This request has been pending your approval for 35 days.	0
Now you know why I gave it a 10+!	1
GO AND SEE IT!	1
What a big waste of time.	2
I *heart* this place.	1
Both of them were truly unbelievably good, and I am so glad we went back.	1
is this safe to open b/c i don't have a private office	0
a new d40 has been announced over the past few days but its lack of an lcd display and buttons to manage basic camera controls to reduce weight and make it more user friendly would still make this my recommended nikon dslr	2
There was NO chemistry between Ben Affleck and Sandra Bullock in this film, and I couldn't understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by.	2
I ordered the Lemon raspberry ice cocktail which was also incredible.	1
The film has an ultra-cheap look to it.	2
It had some average acting from the main person, and it was a low budget as you clearly can see.	2
I really enjoyed eating here.	1
Very little music or anything to speak of.	2
She carries the movie well.	1
Every time he opened his mouth you expect to hear, you see kids... Pulling the plug was a mercy killing for this horrible show.	2
I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.	1
If you act in such a film, you should be glad that you're gonna drift away from earth as far as possible!	2
you will have an allowance that i will monitor closely.	0
It has a great camera thats 2MP, and the pics are nice and clear with great picture quality.	1
This Notice confirms our meeting for this coming Friday, March 23, 2001, from 8:30 a.m. to 11:00 a.m. at the Sheraton Portland Airport Hotel. Because there are fewer items on the agenda, this RRG meeting should be shorter than usual, and we hope to wrap up by 11:00 a.m. The purpose of the meeting is primarily to discuss with the RRG a phased approach to implementing congestion management. The filing utilities are very aware of the concerns many parties have expressed about process overload, and the burden this imposes on you. Consequently, the filing utilities are considering a more focused process that will call for prioritizing the work streams over the next few weeks. Part of this more focused process is a proposal for a potential phasing of congestion management implementation. A background paper for your review before the meeting is attached.	0
One of my favorite purchases ever.	1
Even the squibs look awful.	2
Mary - here is a draft of what the PGE interconnection procedure will be. As I said, much of this is from VEPCO and Carolina Power. Michele is redrafting it to be compatible with our OATT. Let me know your comments as we want to file with FERC this week.	0
Best service and food ever, Maria our server was so good and friendly she made our day.	1
i need to pick up my jacket tonight.  will you be there around 7?	0
Love the new singles ~ am reading Jodi Picoults right now while waiting till Tuesday for her new book to come out!	1
Service was good and the company was better!	1
thats great.. I enjoy my kindle... its in the black cover with the light..(which works great.)  It was a birthday gift..	1
i love natural gas	0
Section 4.1 -- FERC has held in VEPCO (I think) that the requirement to  continue to pay for studies ends when the IA is executed or filed unsigned at  FERC.	0
are you burning up up there?  looks like it has been over 100.  i bought a  new car.  i get it today.	0
I spoke to Sandi, Frank's assistant. We set up a lunch for 11:30 (meet in  the lobby of 3WTC). Sandi is checking with Frank to make sure he doesn't  have other plans didn't make it onto his calendar.	0
Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !	1
how much does the league cost for softball	0
i love this place it is not pretentious but the food is always solid the lobster risotto is wonderful and the service is great ive eaten here 5 times and havent been disappointed yet	1
It is worth the drive.	1
Just don't know why they were so slow.	2
The real disappointment was our waiter.	2
I was thinking of a political approach to solving this problem. I was wondering if you could work with your contacts to mobilize NW Senators (?) to write a letter to the California ISO and the Governor; you might even get Steve Wright to sign on given that this situation must make it more difficult for him to balance his budget.	0
Think of the film being like a dream.	1
This is an extraordinary film.	1
This is one of Peter Watkins most accessible films.	1
A fantastic neighborhood gem !!!	1
I'm a big fan of this series mostly due to Anne Rice's style, sensitivities and treatments.	1
when you want some good chinese food this place is awesome well the place is called vietnam village but it basically serves what i know as chinese food haha the owner is super nice the service is fast the food is cheap because the portions are huge its like 3 servings perserving thats awesome	1
A mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).	1
Service is perfect and the family atmosphere is nice to see.	1
the food is not tasty at all, not to say its real traditional Hunan style.	2
If you do watch it, however, there are small consolations: The actresses playing Anne's sisters each do a wonderful job with their roles.	1
i think so.  one of the guys seems to know her.	0
Awful.	2
To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.	2
Love my kindle too & have the free kindle app on iPhone. Just have to sync whichever you go on & it updates to where you left off.	1
Today, I worked with Robin Gibbs and Jeff Alexander on an Enron pleading in the captioned case. I asked if we had considered asking FERC Staff to file a friend of the court brief detailing how FERC has occupied the field of wholesale rate regulation. Was this or should this be considered?	0
you need to b/c i can't have too many days like today.  you ready for an ass  kicking like you've never had?  brink a jacket b/c i don't want to hear you  complaining on the golf course.	0
I could not understand, what kind of idiot would produce this mess in the first place not to mention several season.	2
Crash is a depressing little nothing, that provokes emotion, but teaches you nothing if you already know racism and prejudice are bad things.	2
It really is impressive that the place hasn't closed down.	2
Perfect for the PS3.	1
I liked it.	1
All the other cases I've tried normally fall apart after a few months but this one seems to be in for the long haul.	1
My kindle was a late Christmas gift to myself. I truly believe is the greatest invention since peanut butter. Not overly complicated or overly pretentious. Sexy in its simplicity, elegant in its usefulness. I love my kindle	1
back in my day, I turned on music. Would have been glad to have had Kindles back then. LOL	1
The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!	1
Your message	0
In short - this was a monumental waste of time and energy and I would not recommend anyone to EVER see this film.	2
The available transmision capacity (ATC) derate did occur and has occured everydaysince about the 24th. This fact was verified to me by our ISO customer contact on Friday. Although we do not have the E-mails anymore, the ISO sends our traders E-mails everyday about the ATC on the ties, so this information is verifiable with the ISO. Our customer contact didn't know exactly what day it had started and I have not wanted to pursue this more with the ISO, not knowing whether we wanted our identity divulged. The reason for the zero rating is that the ISO is in a Stage 3 emergency. The line was again rated at zero today. I have been pursuing the following approaches to getting this issue investigated and resolved. I've talked to Scott Miller at FERC and to Eric Thode in Houston. Eric believes he can get the press to investigate and divulge this information for us in the trade press. So check the trade press tomorrow.	0
but the movie makes a lot of serious mistakes.	2
definately let me know when you come into houston.  there are a lot of fun  bars around town here.  what happened to you on sat?  i was hurting on suday  driving back.  that is the worst part of going back.  i heard oxford is fun  to party at, but the fan	0
This totally UNfunny movie is so over the top and pathetic and unrealistic that throughout the whole 90 minutes of utter torture I probably looked at my watch about 70000 times!	2
Not my thing.	2
If you want a sandwich just go to any Firehouse!!!!!	1
Does everything it should and more.	1
It didn't make me scared, horrified, or make me sympathetic towards the characters; it was simply annoying.	2
Highly recommend for any one who has a blue tooth phone.	1
this is what ive been missing no one told me how great toast is wtf ha saturday night with a couple yelpies we stopped in here around 1030ish for a small bite and some wine small bite turned into a cheese plate and the shrimp and grits i keep thinking about that shrimp and grits dish fantastic i always picture sloppy breakfast looking grits is this picture off base yes i also enjoyed how the wine is served with choice of the pourgives room to sample i tried the chianti and it made me warm right up on a chilly night last but not least the chocolate dessert just magnificent the waiter told our table that peeps come in just for that choc dessert its that good ill be back	1
just me and you big guy!	0
-Drinks took close to 30 minutes to come out at one point.	2
